decision,name,visibility,diskMB,pushed,stars,lang,notes
k,jknm,PUBLIC,9.5,2026-07-09,0,TypeScript,this repo — actively used
k,uozp-naloge,PUBLIC,0.1,2026-06-30,0,Python,recent course project
k,opb,PRIVATE,0.1,2026-06-30,0,TypeScript,actively developed
k,dis,PRIVATE,905,2026-06-29,0,Python,actively developed — big disk
k,megatron,PUBLIC,27.7,2026-06-29,0,Python,actively developed
d,colcon_ws,PRIVATE,0.1,2026-04-03,0,Shell,ROS workspace — done
d,hw3-fitting-lukaprsina,PRIVATE,0,2026-03-26,0,Python,fork — school hw done
d,dis_tutorial3,PUBLIC,25.9,2026-03-24,0,Python,fork — tutorial done
k,ace-roster,PRIVATE,123,2026-03-24,1,TypeScript,active private project
d,hw2-linreg-lukaprsina,PRIVATE,0.2,2026-03-17,0,Python,school hw done
k,jknm-convex,PUBLIC,3.6,2026-03-09,0,TypeScript,related to main project
d,luka_ws,PRIVATE,0,2026-03-05,0,Python,ROS workspace — done
d,dis_tutorial1,PUBLIC,0.1,2026-03-03,0,Python,fork — tutorial done
k,zagovor,PRIVATE,12.4,2026-01-14,0,Python,thesis work
k,is-seminarska-nlp,PRIVATE,24.8,2026-01-11,0,Jupyter Notebook,thesis/seminar work
d,05_assignement,PRIVATE,10.1,2026-01-07,0,Python,school assignment done
d,04_assignement,PRIVATE,0.7,2026-01-07,0,Python,school assignment done
d,IS-Course-Labs-UL-FRI,PUBLIC,8.9,2025-12-23,0,Python,fork — school
d,GRIP,PUBLIC,0.7,2025-12-22,0,Python,fork — school
k,thesis-chats,PRIVATE,0.1,2025-12-14,0,,thesis work
d,MLG,PRIVATE,6.9,2025-12-04,0,Jupyter Notebook,school project done
d,is-seminarska,PRIVATE,1.1,2025-11-28,0,Jupyter Notebook,superseded by NLP version
d,umetno-zaznavanje,PRIVATE,9.2,2025-11-27,0,Python,school done
d,assignment2,PRIVATE,5.1,2025-11-09,0,Jupyter Notebook,school done
d,vite-react,PRIVATE,0,2025-10-28,0,CSS,throwaway experiment
d,cf-start-convex,PRIVATE,0.3,2025-10-17,0,TypeScript,throwaway experiment
d,roots-of-unity,PRIVATE,0,2025-09-03,0,TypeScript,throwaway experiment
k,Baudgeist,PRIVATE,2.5,2025-08-19,0,C,game project — maybe revisit
k,baudgeist-server,PRIVATE,0.1,2025-08-19,0,Rust,game server — maybe revisit
k,jknm-solid,PRIVATE,0.1,2025-07-14,0,CSS,related experiment
d,OS-vse,PRIVATE,41.5,2025-07-01,0,Python,school done
k,csz-converter,PRIVATE,0,2025-06-30,0,TypeScript,useful utility — keep for reference
d,editorjs-md-parser,PUBLIC,0.3,2025-06-29,0,JavaScript,fork — not mine
k,jknm-start,PUBLIC,3.8,2025-06-29,0,MDX,related to main
d,aws-tanstack-start,PRIVATE,0.2,2025-06-27,0,TypeScript,throwaway experiment
a,aps-good-problems,PRIVATE,0.4,2025-06-16,0,,APS reference — keep
a,max-flow-visualization,PRIVATE,0.1,2025-06-15,0,TypeScript,nice visualization — keep for portfolio
k,Non-Euclidian-Raytracing,PRIVATE,1.8,2025-06-05,0,ShaderLab,recent personal project
k,raytracing,PRIVATE,0.2,2025-05-20,0,Julia,recent personal project
d,tanstack-start,PRIVATE,0,2025-05-20,0,,empty repo — never used
d,Matematicno-Modeliranje,PRIVATE,0.2,2025-05-15,0,Jupyter Notebook,fork — school done
d,TIS-HW2,PRIVATE,0,2025-04-21,0,Python,school hw done
d,TIS-HW1,PRIVATE,0,2025-03-28,0,Python,school hw done
d,HW1,PUBLIC,0,2025-03-26,0,Julia,school hw done
d,discord-image-scraper,PRIVATE,0,2025-03-08,0,TypeScript,throwaway experiment
d,my-tanstack-project,PRIVATE,0,2024-11-26,0,TypeScript,throwaway experiment
d,radix-primitives,PUBLIC,19.2,2024-10-03,0,TypeScript,fork — not mine
a,jknm-turborepo,PUBLIC,2.9,2024-09-02,0,TypeScript,old version — superseded by jknm
k,cvinger,PUBLIC,681,2024-08-14,0,TypeScript,production website
a,jknm-old,PUBLIC,15.4,2024-07-23,1,TypeScript,old version — superseded by jknm
d,facebook-lexical,PUBLIC,0,2024-07-18,0,TypeScript,throwaway experiment
k,engine-cpp,PUBLIC,0.5,2024-07-15,1,C++,personal game engine — keep
d,RK_LDN7,PRIVATE,0.1,2024-05-28,0,Java,school done
d,editor,PUBLIC,2.3,2024-02-24,0,TypeScript,fork — not mine
d,anze-nov,PUBLIC,9.5,2024-02-18,0,TypeScript,old project — done
d,utopia,PRIVATE,0.2,2024-02-08,0,Rust,old experiment — done
