legacy_id,ours,legacy,suggested,note
142,Jamarski tečaj 2010,Jamarski tečaj,ours,"year added, admin retitle"
202,Jamarski tečaj 2011,Jamarski tečaj,ours,year added
351,Čaganka – projekt &gt;400,Čaganka – projekt >400,legacy,"ours has an unescaped HTML entity (&gt;) baked into the title — migration bug, not a retitle"
356,Jamarski tečaj 2014,Jamarski tečaj,ours,year added
642,Jamarski tečaj 2024 - prvi vtisi iz Malisnice,Jamarski tečaj 2024 – prvi vtisi iz Malisnice,ours,dash style only
645,Jamarski tečaj 2024 - obisk Kaščice [2],Jamarski tečaj 2024 - obisk Kaščice II,ours,bracket-number convention
653,O netopirjih iz nekaj izbranih dolenjskih jam,O netopirjih iz nekaj izbranih Dolenjskih jam,ours,"casing only (common noun, not proper)"
665,Andrej Jaklič (1952 - 2024),Andrej Jaklič (1952 – 2024,ours,legacy is missing the closing paren
677,JKNM (tretjič) prejel nagrado Viljema Puticka,JKNM (spet) prejel nagrado Viljema Puticka,ours,"factual correction (tretjič/spet), looks deliberate"
689,Anton Tramte (1962 - 2025),Anton Tramte (1962 – 2025),ours,dash style only
51,Pregledali osem novih jam na Kočevskem Rogu,Pregledali osem novih jam na Kočevskem rogu,ours,casing only
305,Jamarski tečaj 2013,Jamarski tečaj,ours,year added
483,Kočevarka,Brezno pri Željnskih jamah,ours,"deliberate retitle, unrelated wording"
635,Čistilna akcija vodovarstvenega območja izvira Radeščice,Čistilna akcija VVO izvira Radeščice,ours,abbreviation spelled out
692,Srečno in zvočno v letu 2026,www.jknm.si se je odselil,ours,"repurposed closing-notice article, deliberate"
26,Kanin 2008 - drugič letos,Kanin 2008 - Drugič letos,ours,casing after dash
637,Čistilna akcija vodovarstvenega območja izvira Radeščice [2],Čistilna akcija VVO izvira Radeščice II,ours,abbreviation + bracket convention
10,Jamarski tečaj 2008 - tečaj za jamarja pripravnika,Tečaj za jamarja pripravnika,ours,series prefix added
14,Raziskovalno-izobraževalni tabor na Kočevskem Rogu 2008,Raziskovalno-izobraževalni tabor na Kočevskem rogu 2008,ours,casing only
18,Raziskovalno–izobraževalni tabor na Kočevskem Rogu,Raziskovalno–izobraževalni tabor na Kočevskem rogu,ours,casing only
22,Nove raziskave na Kočevskem Rogu,Nove raziskave na Kočevskem rogu,ours,casing only
24,Kanin 2008 - letos prvič na pogorju,Kanin 2008 - Letos prvič na pogorju,ours,casing after dash
30,Na Smrečniku na Kočevskem Rogu,Na Smrečniku na Kočevskem rogu,ours,casing only
38,Raziskave v okolici Mirne gore na Kočevskem Rogu,Raziskave v okolici Mirne gore na Kočevskem rogu,ours,casing only
42,Srečno v jamah in v letu 2009 ...,Srečno v jamah in v 2009 ...,ours,"fuller phrase (""v letu"")"
43,Na dveh akcijah deset jam,Na dveh akcijah 10 jam,ours,"spelled-out number, style"
67,Koprivnik in Golobinjek [2],Koprivnik in Golobinjek II,ours,bracket-number convention
46,Kanin 2009 - zimski pregled terena,Kanin 2009 - Zimski pregled terena,ours,casing after dash
47,Občni zbor 2008,Občni zbor,ours,year added
54,Zanimivosti s Kočevskega Roga,Zanimivosti s Kočevskega roga,ours,casing only
56,Jamarski tečaj 2009,Jamarski tečaj,ours,year added
57,Nova 40 metrca na Kočevskem Rogu,Nova 40 metrca na Kočevskem rogu,ours,casing only
60,Smrečnik na Kočevskem Rogu,Smrečnik na Kočevskem rogu,ours,casing only
61,Jamarski tečaj 2009 - vtisi jamarskega tečajnika,Vtisi jamarskega tečajnika,ours,series prefix added
63,Raziskovalni tabor in zaključek jamarskega tečaja,Raziskovalni tabor in zaključek tečaja,ours,clarifies which tečaj
72,Nedokončane zadeve na Kočevskem Rogu,Nedokončane zadeve na Kočevskem rogu,ours,casing only
81,Raziskave v okolici Drvodevnika pri Travnem Dolu,Raziskave v okolici Drvodevnika pri Travnem dolu,ours,casing only (place-name component)
88,Nove jame na Kočevskem Rogu,Nove jame na Kočevskem rogu,ours,casing only
122,Ob koncu leta 2009,Ob koncu leta,ours,year added
125,Kanin 1990 - Reševanje dvajset let pozneje,Kanin 1990 - Reševanje na Kaninu dvajset let pozneje,ours,"""na Kaninu"" trimmed as redundant given ""Kanin 1990"" prefix"
129,Ne me j****,Ne me J.,ours,"ours reads like profanity-filter corruption of the title, not an editorial choice — verify against article body/legacy scrape"
146,Jamarski tečaj 2010 - mala šola jamarstva v Malisnici,Mala šola jamarstva v Malisnici,ours,series prefix added
156,Babin kamen 3,BK 3,ours,abbreviation expanded
185,Novice s Kočevskega Roga,Novice iz Kočevskega roga,ours,casing + preposition normalized
206,Jamarski tečaj 2011 se je začel,Jamarski tečaj se je začel,ours,year added
208,Nadaljevanja jamarskega tečaja 2011,Nadaljevanja jamarskega tečaja,ours,year added
234,Dan varnosti in tehnike 2011,Dan varnosti in tehnike,ours,year added
